WEIRD CHARACTERS
Compiled by Meguey Baker
NOTES
Town busy-bodies, weirdos, hillbillies, and self-important characters. Add a middle initial for extra oddness.
MALE NAMES 
1. Neville
2. Elmer
3. Floyd
4. Gunther
5. Cleatus
6. Wilmer
7. Bert
8. Clem
9. Lloyd
10. Jarvis
11. Otis
12. Melvin
13. Phineas
14. Darnell
15. Euell
16. Amos
17. Beaumont
18. Harvey
19. Walter
20. Davis
FEMALE NAMES 
1. Ermintrude
2. Hepsibah
3. Mildred
4. Elvira
5. Mehitabel
6. Jessibelle
7. Clementine
8. Sadie
9. Delilah
10. Josephine
11. Lavinia
12. Delia
13. Saphronina
14. Bethsheba
15. Hilda
16. Alvaline
17. Mavis
18. Begood
19. Speary
20. Lestene
LAST NAMES
1. Holder
2. Hopkins
3. Lepter
4. Mevins
5. Colraine
6. Peeko
7. Hawkins
8. Jenkins
9. Perkins
10. Cater
11. Tarbuck
12. Pickle
13. Carter
14. Devins
15. Thiobault
16. Snide
17. Ratcher
18. Longbellow
19. Winkle
20. Sapperstein
